year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.095,266.35,45.62,33.62,39.62
2016,03,0.091,265.88,40.33,40.67,40.5
2016,04,0.092,266.45,39.33,41.52,40.43
2016,05,0.101,268.16,43.12,37.12,40.12
2016,06,0.112,270.31,48.41,32.92,40.66
2016,07,0.131,272.64,57.91,29.02,43.46
2016,08,0.143,274.52,62.1,26.54,44.32
2016,09,0.160,276.02,68.19,27.34,47.76
2016,10,0.186,277.34,76.54,31.71,54.12
2016,11,0.211,278.65,78.91,38.27,58.59
2016,12,0.235,280.14,79.8,41.93,60.86
2016,13,0.255,281.41,77.29,42.54,59.91
2016,14,0.275,282.31,73.08,46.05,59.56
2016,15,0.306,283.5,74.65,47.56,61.11
2016,16,0.338,284.48,74.74,51.6,63.17
2016,17,0.368,285.38,72.44,58.24,65.34
2016,18,0.398,286.43,71.31,61.07,66.19
2016,19,0.431,287.81,72.69,55.21,63.95
2016,20,0.458,289.18,73.51,46.85,60.18
2016,21,0.481,290.28,73.43,42.72,58.08
2016,22,0.499,291.06,73.93,41.29,57.61
2016,23,0.519,291.85,77.97,38.26,58.11
2016,24,0.532,292.58,81.3,34.22,57.76
2016,25,0.543,293.25,84.06,29.89,56.98
2016,26,0.546,293.59,83.84,30.44,57.14
2016,27,0.551,293.94,84.17,32.59,58.38
2016,28,0.560,294.48,88.28,30.36,59.32
2016,29,0.561,294.57,89.7,31.47,60.59
2016,30,0.555,294.42,87.99,35.42,61.7
2016,31,0.549,294.2,86.76,38.36,62.56
2016,32,0.546,294.09,86.48,39.08,62.78
2016,33,0.542,294.14,86.6,35.35,60.98
2016,34,0.527,293.81,82.57,32.59,57.58
2016,35,0.499,292.91,74.45,31.71,53.08
2016,36,0.468,291.96,67.9,27.34,47.62
2016,37,0.433,290.58,60.12,28.37,44.25
2016,38,0.398,288.42,51.64,38.24,44.94
2016,39,0.355,285.36,41.66,53.59,47.63
2016,40,0.319,283.07,35.8,58.27,47.03
2016,41,0.286,280.98,33.29,60.6,46.95
2016,42,0.246,278.31,29.0,68.6,48.8
2016,43,0.207,275.98,24.98,72.08,48.53
2016,44,0.173,273.6,20.93,74.59,47.76
2016,45,0.146,271.6,17.73,70.8,44.27
2016,46,0.127,269.79,19.24,62.77,41.01
2016,47,0.107,267.45,19.49,61.6,40.55
2016,48,0.092,265.97,20.3,58.96,39.63
2016,49,0.085,265.01,23.39,53.94,38.67
2016,50,0.080,263.76,23.16,50.58,36.87
2016,51,0.077,262.59,26.8,48.51,37.65
2016,52,0.078,262.04,31.43,48.16,39.8
