Mean data for UKR  Province= 27: Zhytomyr,  from 2016 to 2016<br>The data below were extracted from weekly files like: ../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.102,264.12, 71.18, 29.49, 50.34
2016 02  0.099,263.06, 68.70, 36.03, 52.36
2016 03  0.101,263.69, 71.18, 34.57, 52.87
2016 04  0.108,265.50, 74.34, 28.76, 51.55
2016 05  0.114,268.24, 72.47, 22.27, 47.37
2016 06  0.122,270.73, 69.69, 19.45, 44.57
2016 07  0.135,273.07, 71.28, 15.38, 43.33
2016 08  0.142,274.44, 70.32, 15.88, 43.10
2016 09  0.150,275.92, 71.17, 16.34, 43.76
2016 10  0.162,277.69, 72.28, 17.12, 44.70
2016 11  0.180,279.86, 74.12, 13.69, 43.91
2016 12  0.201,281.98, 76.69, 16.90, 46.79
2016 13  0.218,283.86, 76.28, 18.37, 47.32
2016 14  0.236,285.77, 74.89, 17.26, 46.08
2016 15  0.264,287.93, 76.38, 15.86, 46.12
2016 16  0.294,289.65, 76.77, 18.47, 47.62
2016 17  0.319,290.63, 73.16, 26.33, 49.74
2016 18  0.339,291.06, 65.78, 37.68, 51.73
2016 19  0.362,291.95, 60.80, 41.85, 51.32
2016 20  0.382,292.92, 56.04, 43.28, 49.66
2016 21  0.398,293.43, 51.68, 45.43, 48.56
2016 22  0.417,294.15, 52.39, 41.68, 47.03
2016 23  0.436,294.99, 56.17, 35.56, 45.87
2016 24  0.449,295.76, 58.73, 28.93, 43.83
2016 25  0.458,296.38, 61.69, 23.47, 42.58
2016 26  0.460,296.51, 62.27, 22.08, 42.18
2016 27  0.465,297.07, 65.26, 17.15, 41.21
2016 28  0.473,297.83, 71.95, 11.62, 41.78
2016 29  0.471,297.94, 73.98, 11.98, 42.98
2016 30  0.465,297.88, 74.04, 15.80, 44.92
2016 31  0.460,297.87, 74.15, 16.31, 45.23
2016 32  0.454,297.82, 74.59, 14.74, 44.67
2016 33  0.446,297.61, 74.58, 11.55, 43.07
2016 34  0.434,297.11, 73.54,  7.61, 40.58
2016 35  0.419,296.33, 71.03,  5.49, 38.26
2016 36  0.396,294.92, 67.48,  7.47, 37.47
2016 37  0.365,292.85, 61.47, 14.81, 38.14
2016 38  0.333,290.60, 55.05, 23.87, 39.46
2016 39  0.290,286.56, 43.62, 54.22, 48.92
2016 40  0.251,282.97, 33.22, 72.86, 53.04
2016 41  0.212,279.50, 22.91, 82.49, 52.70
2016 42  0.169,274.67, 13.73, 92.96, 53.34
2016 43  0.130,270.02,  7.73, 96.29, 52.01
2016 44  0.102,266.18,  4.89, 96.08, 50.49
2016 45  0.082,263.58,  3.08, 93.61, 48.34
2016 46  0.070,261.74,  3.20, 89.52, 46.36
2016 47  0.063,259.93,  6.00, 86.63, 46.32
2016 48  0.063,260.00, 14.04, 77.83, 45.94
2016 49  0.062,260.12, 18.29, 68.49, 43.39
2016 50  0.060,259.95, 19.99, 61.21, 40.60
2016 51  0.061,259.68, 24.54, 55.32, 39.93
2016 52  0.060,259.20, 27.07, 52.62, 39.85
</pre></tt>
